,alt,az,airmass,moonRA,moonDec,moonSep,fieldID,objType,magnitude,mjdExpStart,risen,scheduled,observable
0,21.896979526794116,231.27059852821486,2.6814046021636084,289.3877771541074,-26.179786003291344,92.9976801379977,BD-15 3482,bright star,2.95,59418.115885,True,False,False
1,18.870179454697634,234.5647572987843,3.0919072354718025,289.54369973498956,-26.190811846631288,93.12530793518994,BD-15 3482,bright star,2.95,59418.128385,True,False,False
2,15.720549398472738,237.6674735173378,3.690776384217492,289.69549884083875,-26.200159582929803,93.24995697658233,BD-15 3482,bright star,2.95,59418.140885,True,False,False
3,12.46401471571052,240.60016224443868,4.63335353380259,289.84345120087795,-26.207706555713713,93.37191360374848,BD-15 3482,bright star,2.95,59418.153385,True,False,False
4,9.11454613098994,243.3837013228776,6.312782807747245,289.9878579606298,-26.213338974133425,93.49148132604644,BD-15 3482,bright star,2.95,59418.165885,True,False,False
5,5.684392179636421,246.03817100891297,10.096045181200484,290.12904291859576,-26.216952801045647,93.60897895351809,BD-15 3482,bright star,2.95,59418.178385,True,False,False
6,2.1843118636512684,248.58278539292888,26.236940673155125,290.26735057432165,-26.218454579237015,93.72473860576426,BD-15 3482,bright star,2.95,59418.190885,True,False,False
7,-1.376203308070246,251.0359613903774,-41.63722669686841,290.4031439815023,-26.217762185830694,93.8391035949449,BD-15 3482,bright star,2.95,59418.203385,False,False,True
8,-4.988722614216423,253.41548867426414,-11.499584644637391,290.53680243594766,-26.2148055041675,93.95242621080102,BD-15 3482,bright star,2.95,59418.215885,False,False,True
9,-8.645685246649988,255.73877912316496,-6.6523114836701325,290.66871899811724,-26.209527004923924,94.065065410008,BD-15 3482,bright star,2.95,59418.228385,False,False,True
10,-12.340223100208476,258.0231875920577,-4.679101495388206,290.7992978966605,-26.201882226642102,94.17738445057934,BD-15 3482,bright star,2.95,59418.240885,False,False,True
11,-16.06599310371873,260.2864077282416,-3.6134432240924284,290.92895181586744,-26.191840150108884,94.28974847440483,BD-15 3482,bright star,2.95,59418.253385,False,False,True
12,-19.817013208012167,262.54695842759867,-2.9497020886955365,291.058099109573,-26.179383459938872,94.40252207444777,BD-15 3482,bright star,2.95,59418.265885,False,False,True
